recipe_id,title_fa,title_en,category,region,main_protein,base,prep_min,cook_min,cost_tier,health_tags,allergens_or_notes,medical_caution,occasion,ingredient_keywords,quick_variation
IR001,قورمه‌سبزی,Ghormeh Sabzi,خورش,سراسری,گوشت قرمز یا لوبیا,برنج,25,150,متوسط,فیبر پروتئین,لوبیا,سدیم و چربی قابل تنظیم,ناهار خانوادگی,سبزی قورمه لوبیا قرمز لیموعمانی گوشت برنج,نسخه گیاهی با قارچ یا لوبیا بیشتر
IR002,قیمه,Gheimeh,خورش,سراسری,گوشت قرمز و لپه,برنج,20,120,اقتصادی,پروتئین فیبر,لپه,سدیم و سیب‌زمینی سرخ‌کرده قابل کنترل,ناهار خانوادگی,لپه گوشت رب گوجه لیموعمانی سیب‌زمینی برنج,سیب‌زمینی فرپز و گوشت کمتر
IR003,فسنجان,Fesenjan,خورش,گیلان,مرغ یا گوشت قلقلی,برنج,20,120,لوکس,چربی غیراشباع,گردو,پرکالری و قند رب انار قابل تنظیم,مهمانی,گردو رب انار مرغ پیاز برنج,مرغ کمتر و گردوی اندازه‌گیری‌شده
IR004,خورش بادمجان,Khoresh Bademjan,خورش,سراسری,گوشت یا مرغ,برنج,25,100,متوسط,سبزیجات پروتئین,ندارد,روغن بادمجان را کنترل کنید,ناهار خانوادگی,بادمجان گوشت گوجه رب غوره برنج,بادمجان گریل‌شده
IR005,خورش کرفس,Khoresh Karafs,خورش,سراسری,گوشت یا مرغ,برنج,25,120,متوسط,سبزیجات,کرفس,سدیم قابل تنظیم,ناهار خانوادگی,کرفس نعنا جعفری گوشت لیموعمانی برنج,نسخه مرغ یا قارچ
IR006,خورش آلو اسفناج,Khoresh Aloo Esfenaj,خورش,سراسری,گوشت یا مرغ,برنج,20,100,متوسط,سبزیجات,ندارد,قند آلو را در دیابت مدیریت کنید,ناهار خانوادگی,اسفناج آلو گوشت پیاز برنج,مرغ و آلو کمتر
IR007,خورش خلال,Khoresh Khalal,خورش,کرمانشاه,گوشت قرمز,برنج,30,130,لوکس,پروتئین,بادام,چربی و نمک قابل تنظیم,مهمانی,گوشت خلال بادام زرشک گلاب لیموعمانی برنج,مرغ به‌جای گوشت
IR008,خورش به‌آلو,Khoresh Beh Aloo,خورش,سراسری,گوشت یا مرغ,برنج,25,105,متوسط,میوه سبزیجات,ندارد,قند افزوده را حذف کنید,پاییز و زمستان,به آلو گوشت پیاز رب برنج,بدون شکر افزوده
IR009,خورش هویج,Khoresh Havij,خورش,تبریز,مرغ یا گوشت,برنج,20,90,متوسط,سبزیجات,ندارد,قند افزوده و روغن قابل کنترل,ناهار خانوادگی,هویج مرغ آلو پیاز زعفران برنج,هویج بخارپز و شکر صفر
IR010,غوره‌مسما,Ghooreh Mosamma,خورش,شمال ایران,مرغ,برنج,20,90,متوسط,پروتئین,ندارد,اسیدیته برای معده حساس,تابستان,مرغ بادمجان گوجه غوره برنج,بادمجان گریل‌شده
